,customer_id,probability,predicted
463,3866-MDTUB,0.7829172758846397,1
5822,5555-RNPGT,0.1995346460595483,0
1432,3727-OWVYD,0.21712495067975274,0
2890,2270-CHBFN,0.47750893445340586,0
3911,6892-XPFPU,0.8360704282339114,1
2003,3635-JBPSG,0.294611591397847,0
4935,6946-LMSQS,0.6818797709301649,1
1588,6461-PPAXN,0.13724614359413373,0
6718,4878-BUNFV,0.022294299688269657,0
5198,2578-JQPHZ,0.18235441678299394,0
6679,4231-LZUYM,0.008870705200214877,0
1139,9214-EKVXR,0.7519431573841808,1
3024,2868-SNELZ,0.827175673267086,1
2575,0680-DFNNY,0.8489497551903228,1
4493,9776-OJUZI,0.5609180963456044,1
6014,9374-YOLBJ,0.4050379641349255,0
6103,1839-UMACK,0.06686281342717529,0
2251,7349-ALMUX,0.08983065487483176,0
3859,6618-RYATB,0.8766376426118772,1
4367,9185-TQCVP,0.8431222027489376,1
5190,2419-FSORS,0.2377581336284231,0
3504,5002-GCQFH,0.6600443691672444,1
6575,2595-KIWPV,0.03515224912794781,0
6690,4475-NVTLU,0.021139028351195896,0
4351,9095-HFAFX,0.8068800930546756,1
1166,9504-DSHWM,0.3509861397842765,0
1807,0263-FJTQO,0.062423175528940306,0
4484,9728-FTTVZ,0.8906379496456234,1
3943,7020-OZKXZ,0.6955212058978496,1
1094,8807-ARQET,0.42216192836440647,0
853,6917-IAYHD,0.5291887829012408,1
4346,9079-LWTFD,0.47703109076268246,0
4156,8058-DMYRU,0.6731727595372967,1
2154,5997-OPVFA,0.06654776979078038,0
118,1101-SSWAG,0.6585479303662937,1
6393,9621-OUPYD,0.13234387977656992,0
5285,4829-ZLJTK,0.34992673470001273,0
2387,9481-WHGWY,0.023497179501366792,0
84,0807-ZABDG,0.5962411574859197,1
5732,3847-BAERP,0.3607343238601743,0
208,1803-BGNBD,0.6231298899951148,1
4785,4423-JWZJN,0.2173825866556506,0
6887,7596-IIWYC,0.06659729471696386,0
202,1768-HNVGJ,0.33929141601618246,0
5215,3096-YXENJ,0.1888904422186572,0
2453,0151-ONTOV,0.8325357053264315,1
1152,9351-LZYGF,0.2525839124448535,0
1037,8364-TRMMK,0.7311923871481,1
2416,9919-FZDED,0.08173997053231528,0
6626,3373-DIUUN,0.03719155051738971,0
3665,5666-CYCYZ,0.7655718973876857,1
1519,5196-WPYOW,0.05360448907424829,0
3527,5119-KEPFY,0.7282524415186142,1
4270,8695-ARGXZ,0.6919482134181274,1
2875,2205-YMZZJ,0.8579961475311414,1
838,6817-WTYHE,0.6350043902499035,1
6689,4458-KVRBJ,0.013534318654730409,0
553,4495-LHSSK,0.4834152467421703,0
4256,8622-ZLFKO,0.8578910304067877,1
2038,4194-FJARJ,0.03656946748374591,0
5676,2839-RFSQE,0.4107718421333995,0
6771,5726-CVNYA,0.10957415495236757,0
5496,9586-JGQKH,0.1901111433542398,0
6292,6837-BJYDQ,0.24368272862138132,0
969,7853-OETYL,0.7192446279844152,1
3621,5482-VXSXJ,0.780451852217204,1
2977,2675-OTVVJ,0.6944153554183505,1
4415,9436-ZBZCT,0.790612356707502,1
1810,0298-XACET,0.040411025012025606,0
5743,4063-EIKNQ,0.19954915205996315,0
2636,0979-PHULV,0.4342824778826142,0
6907,7876-DNYAP,0.005037124764094638,0
2360,9110-HSGTV,0.04635648903924921,0
6248,5849-ASHZJ,0.06903002312063782,0
4289,8775-ERLNB,0.8439210030397362,1
6482,1223-UNPKS,0.05076627493460359,0
1106,8930-XOTDP,0.46709084387016475,0
2427,0027-KWYKW,0.7319944420826926,1
6024,9700-ZCLOT,0.41003023095506713,0
939,7663-RGWBC,0.7520199134786208,1
4619,1229-RCALF,0.43185907072759055,0
4509,9837-BMCLM,0.8819772706652711,1
5572,1140-UKVZG,0.26394357701896765,0
6114,2239-CFOUJ,0.22476887772495086,0
1747,9200-NLNPD,0.08999234127180454,0
3519,5060-TQUQN,0.5566586116776688,1
3396,4548-SDBKE,0.8735966899928371,1
357,3059-NGMXB,0.5423020798106652,1
5559,1000-AJSLD,0.5123753863086593,1
5168,1891-QRQSA,0.17745077541435283,0
2257,7492-TAFJD,0.21499146824250331,0
4199,8276-MQBYC,0.7223819291457367,1
2425,0021-IKXGC,0.8914105345410746,1
3394,4547-KQRTM,0.7881653329967528,1
2599,0829-XXPLX,0.7642669728835189,1
5055,9391-LMANN,0.4073261375872418,0
6131,2682-KEVRP,0.14348963184834265,0
2856,2105-PHWON,0.5339591069658528,1
5316,5514-YQENT,0.32610950052568366,0
1937,2498-XLDZR,0.08631508078887645,0
3061,3002-WQZWT,0.7616648332617901,1
5765,4558-CGYCZ,0.37654946028069775,0
6770,5699-BNCAS,0.011642805016914655,0
1148,9327-QSDED,0.5767697450260425,1
5778,4760-XOHVN,0.36785760622733393,0
428,3640-JQGJG,0.48352437074551946,0
2708,1389-CXMLU,0.8463104469705659,1
5229,3396-DKDEL,0.13486564597757056,0
5696,3190-FZATL,0.2636999339853369,0
5701,3345-JHUEO,0.4974314714948132,0
6568,2511-ALLCS,0.02288774514408692,0
1573,6252-DFGTK,0.14054427647359166,0
5242,3705-RHRFR,0.1536985028664809,0
6303,7137-NAXML,0.08606518462963772,0
2285,7898-PDWQE,0.027594801847500218,0
25,0282-NVSJS,0.4907289271777838,0
1726,8845-LWKGE,0.24721219642504122,0
2578,0685-MLYYM,0.846258398457439,1
1463,4322-RCYMT,0.0816990667354704,0
80,0778-NELLA,0.5568762299037424,1
3516,5052-PNLOS,0.8551800600349215,1
4635,1480-IVEVR,0.4553704986529948,0
6988,9081-WWXKP,0.011397196536336671,0
4211,8375-DKEBR,0.89074479903922,1
3738,6017-PPLPX,0.7515120124299511,1
210,1810-MVMAI,0.32220126927460624,0
5486,9330-VOFSZ,0.2081659297159751,0
385,3285-UCQVC,0.18527149553066433,0
6764,5605-XNWEN,0.01216244881608946,0
1564,6114-TCFID,0.13302546922848307,0
5823,5562-YJQGT,0.33686631141844026,0
6036,9962-BFPDU,0.3682404933087903,0
4886,6199-IWKGC,0.34928303808319733,0
727,5909-ECHUI,0.7858456429394007,1
525,4324-AHJKS,0.558648562524462,1
6137,2819-GWENI,0.07961001135376905,0
3878,6693-FRIRW,0.698493897430806,1
2763,1658-TJVOA,0.8610791949333438,1
3294,4067-HLYQI,0.6536108227751111,1
4821,5056-FIMPT,0.34316850770792107,0
2441,0118-JPNOY,0.7295894292339986,1
5623,2002-MZHWP,0.42796162950226657,0
4816,4913-EHYUI,0.38819323213723167,0
1607,6778-JFCMK,0.4236678244094644,0
5026,8849-GYOKR,0.3835067191091423,0
805,6549-NNDYT,0.6103400077579223,1
6646,3662-FXJFO,0.02421133144226003,0
920,7537-RBWEA,0.7421713256406126,1
4235,8486-AYEQH,0.7449707799450909,1
3293,4062-HBMOS,0.731503471325785,1
6412,0206-OYVOC,0.023279851316577175,0
590,4795-WRNVT,0.3876282536847975,0
6540,2075-PUEPR,0.011062347286666383,0
3085,3096-IZETN,0.7677779360398861,1
6020,9546-KDTRB,0.20813562072309091,0
5719,3694-GLTJM,0.3657171655303674,0
6504,1555-HAPSU,0.004623294468306871,0
6355,8610-ZIKJJ,0.21233252787199502,0
2666,1173-NOEYG,0.6703471101587648,1
1017,8217-QYOHV,0.6066506850651098,1
3135,3318-OSATS,0.7535634609838606,1
6313,7353-YOWFP,0.19527710869358733,0
2497,0354-WYROK,0.6410823199065728,1
621,5047-LHVLY,0.7217275107577599,1
6423,0394-YONDK,0.005151979164515068,0
4073,7599-FKVXZ,0.5876056158878247,1
2720,1450-GALXR,0.7811340357689338,1
4660,2040-OBMLJ,0.3086018819241651,0
5074,9762-YAQAA,0.39096210726477193,0
5987,8963-MQVYN,0.2532142446992643,0
5583,1336-EZFZY,0.3770070911834882,0
3540,5159-YFPKQ,0.886264478692093,1
2289,7998-WNZEM,0.03469179302434743,0
4428,9494-MRNYX,0.7798625784973711,1
5983,8815-LMFLX,0.21009692781475178,0
4790,4525-VZCZG,0.4144506574520182,0
4878,5968-XQIVE,0.38119865974708866,0
2649,1062-LHZOD,0.8446679568019525,1
662,5351-QESIO,0.6337456734130033,1
6212,4750-UKWJK,0.0713394936520155,0
6678,4213-HKBJO,0.029090392265834618,0
6535,2017-CCBLH,0.10080276722964517,0
369,3137-LUPIX,0.6287627037643786,1
839,6834-NXDCA,0.6734633053913284,1
3734,5998-VVEJY,0.7249767308385634,1
812,6614-VBEGU,0.5686694407128855,1
4516,9866-QEVEE,0.7629940682092735,1
2991,2737-YNGYW,0.850318107487591,1
6938,8285-ABVLB,0.005370128330034129,0
1478,4576-CSAJH,0.21567896490253616,0
219,1907-YLNYW,0.714395070005804,1
6064,0902-RFHOF,0.07195496786667588,0
6354,8595-SIZNC,0.08930451866408748,0
4492,9776-CLUJA,0.637615566237846,1
3460,4822-NGOCH,0.8595382060746269,1
3653,5626-MGTUK,0.7657844258045824,1
5202,2664-XJZNO,0.13587099110197484,0
3960,7130-VTEWQ,0.8474771012565638,1
528,4349-GFQHK,0.7204744351859419,1
835,6778-YSNIH,0.7765165166810051,1
6126,2592-HODOV,0.14138765229466888,0
682,5482-PLVPE,0.6901055083814079,1
4996,8231-BSWXX,0.22125664030453235,0
2704,1363-TXLSL,0.8826226323025788,1
3221,3717-OEAUQ,0.8237308332610995,1
832,6743-HHQPF,0.24570233929022386,0
2652,1075-BGWOH,0.84093018266293,1
4574,0471-ARVMX,0.5121827142273003,1
